customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0001-CHURN,Male,0,No,No,53,No,DSL,Two year,Credit card,58.82,3035.65,No
0002-CHURN,Female,0,Yes,No,5,Yes,Fiber optic,Month-to-month,Electronic check,99.7,487.15,Yes
0003-CHURN,Female,0,No,No,67,Yes,Fiber optic,Two year,Credit card,112.87,7524.45,No
0004-CHURN,Female,0,Yes,No,6,Yes,No,One year,Mailed check,32.43,195.26,No
0005-CHURN,Male,0,Yes,Yes,39,Yes,DSL,One year,Credit card,65.43,2522.97,No
0006-CHURN,Male,0,No,No,13,Yes,No,Two year,Bank transfer,32.27,417.48,No
0007-CHURN,Male,0,No,No,14,Yes,No,One year,Electronic check,31.94,454.12,No
0008-CHURN,Female,0,No,No,11,Yes,No,Month-to-month,Mailed check,30.82,333.88,No
0009-CHURN,Female,0,No,Yes,17,Yes,Fiber optic,One year,Electronic check,109.92,1816.41,No
0010-CHURN,Female,0,Yes,Yes,60,Yes,DSL,One year,Electronic check,72.77,4302.54,No
0011-CHURN,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,Bank transfer,108.5,1001.19,Yes
0012-CHURN,Female,1,No,No,53,Yes,DSL,One year,Electronic check,75.67,3894.53,No
0013-CHURN,Female,1,No,No,47,Yes,Fiber optic,One year,Credit card,107.48,4939.09,No
0014-CHURN,Male,0,Yes,No,52,Yes,Fiber optic,One year,Bank transfer,108.94,5517.05,No
0015-CHURN,Male,0,No,No,30,Yes,DSL,Month-to-month,Credit card,63.55,1892.42,Yes
0016-CHURN,Male,0,No,No,11,Yes,DSL,Month-to-month,Bank transfer,65.7,729.11,Yes
0017-CHURN,Male,0,No,No,71,Yes,DSL,Two year,Mailed check,76.56,5569.59,No
0018-CHURN,Female,0,No,No,12,Yes,DSL,Two year,Electronic check,64.82,791.56,No
0019-CHURN,Male,0,Yes,No,67,Yes,Fiber optic,Two year,Mailed check,116.08,7661.03,No
0020-CHURN,Male,0,No,Yes,9,Yes,DSL,Month-to-month,Bank transfer,72.54,658.14,No
0021-CHURN,Female,0,No,Yes,17,Yes,No,Month-to-month,Credit card,32.6,559.65,No
0022-CHURN,Male,0,Yes,No,4,Yes,Fiber optic,Month-to-month,Electronic check,114.29,445.93,Yes
0023-CHURN,Male,0,No,No,66,Yes,Fiber optic,Two year,Mailed check,115.31,7577.19,No
0024-CHURN,Male,0,No,No,11,Yes,DSL,Two year,Bank transfer,70.87,770.74,No
0025-CHURN,Male,0,Yes,No,62,Yes,No,Two year,Bank transfer,32.13,1951.08,No
0026-CHURN,Female,0,No,No,61,Yes,No,One year,Electronic check,30.3,1799.36,No
0027-CHURN,Male,0,Yes,No,69,Yes,Fiber optic,Two year,Mailed check,98.88,6629.15,No
0028-CHURN,Female,0,Yes,No,64,Yes,DSL,Two year,Credit card,72.77,4757.52,No
0029-CHURN,Female,0,No,Yes,61,Yes,Fiber optic,Two year,Credit card,112.57,6796.99,No
0030-CHURN,Male,0,Yes,No,70,No,Fiber optic,One year,Mailed check,90.03,6299.48,No
0031-CHURN,Female,0,Yes,No,68,Yes,DSL,One year,Credit card,75.24,5052.36,No
0032-CHURN,Male,0,Yes,No,16,Yes,No,One year,Credit card,28.38,444.98,No
0033-CHURN,Male,0,Yes,No,20,No,Fiber optic,Month-to-month,Bank transfer,96.83,1908.86,Yes
0034-CHURN,Female,0,No,Yes,62,Yes,Fiber optic,Two year,Mailed check,107.76,6548.83,No
0035-CHURN,Female,0,No,No,20,Yes,Fiber optic,Month-to-month,Bank transfer,98.74,2005.36,No
0036-CHURN,Female,0,No,No,58,Yes,DSL,One year,Electronic check,63.99,3802.17,No
0037-CHURN,Male,0,No,No,7,No,DSL,Month-to-month,Mailed check,59.76,416.68,No
0038-CHURN,Male,1,Yes,No,65,Yes,DSL,Month-to-month,Mailed check,67.67,4483.77,No
0039-CHURN,Female,0,No,No,3,Yes,No,Month-to-month,Electronic check,32.08,95.81,Yes
0040-CHURN,Male,0,No,No,72,Yes,Fiber optic,One year,Credit card,106.28,7627.73,No
0041-CHURN,Male,0,No,Yes,8,Yes,No,Month-to-month,Electronic check,28.53,228.04,No
0042-CHURN,Male,0,No,No,4,Yes,No,Month-to-month,Electronic check,28.79,117.37,No
0043-CHURN,Male,1,No,No,3,Yes,DSL,Month-to-month,Mailed check,73.1,225.04,Yes
0044-CHURN,Female,0,No,No,64,Yes,DSL,One year,Bank transfer,77.25,5016.51,No
0045-CHURN,Male,0,Yes,No,62,Yes,No,One year,Electronic check,32.35,2052.45,No
0046-CHURN,Female,0,No,No,64,Yes,Fiber optic,Month-to-month,Electronic check,100.59,6492.89,Yes
0047-CHURN,Male,0,Yes,No,71,Yes,Fiber optic,Two year,Electronic check,98.33,7123.54,No
0048-CHURN,Female,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,Electronic check,98.53,2372.78,No
0049-CHURN,Female,0,Yes,No,4,Yes,No,Month-to-month,Electronic check,30.77,125.09,No
0050-CHURN,Male,0,Yes,Yes,68,Yes,Fiber optic,Two year,Mailed check,107.72,7415.17,No
0051-CHURN,Female,0,Yes,Yes,69,Yes,No,Two year,Electronic check,28.07,1965.8,No
0052-CHURN,Female,0,Yes,No,43,Yes,No,Two year,Electronic check,28.29,1197.08,No
0053-CHURN,Female,1,No,Yes,54,Yes,Fiber optic,One year,Bank transfer,118.0,6239.62,No
0054-CHURN,Female,0,No,No,5,Yes,Fiber optic,Month-to-month,Mailed check,117.3,591.89,Yes
0055-CHURN,Female,0,No,No,72,Yes,Fiber optic,Two year,Mailed check,100.53,7230.73,No
0056-CHURN,Female,0,Yes,No,12,Yes,DSL,Two year,Electronic check,65.46,797.99,No
0057-CHURN,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,Electronic check,116.0,794.78,Yes
